benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,QUIC,harsh,4,4,773434553
consensus_with_setup,QUIC,harsh,4,5,520627863
consensus_with_setup,QUIC,harsh,4,6,544829287
consensus_with_setup,QUIC,harsh,4,7,706934333
consensus_with_setup,QUIC,harsh,4,8,722060904
consensus_with_setup,QUIC,harsh,4,9,389306400
consensus_with_setup,QUIC,harsh,4,10,778500097
consensus_with_setup,QUIC,harsh,4,11,917487527
consensus_with_setup,QUIC,harsh,4,12,516349069
consensus_with_setup,QUIC,harsh,4,13,614783273
consensus_with_setup,QUIC,harsh,4,14,750382773
consensus_with_setup,QUIC,harsh,4,15,1130661726
consensus_with_setup,QUIC,harsh,4,16,856816195
consensus_with_setup,QUIC,harsh,4,17,878411205
consensus_with_setup,QUIC,harsh,4,18,587110023
consensus_with_setup,QUIC,harsh,4,19,394369547
consensus_with_setup,QUIC,harsh,4,20,905574511
consensus_with_setup,QUIC,harsh,4,21,461603435
consensus_with_setup,QUIC,harsh,4,22,674564565
consensus_with_setup,QUIC,harsh,4,23,822438717
consensus_with_setup,QUIC,harsh,4,24,667583003
consensus_with_setup,QUIC,harsh,4,25,876788795
consensus_with_setup,QUIC,harsh,4,26,744861422
consensus_with_setup,QUIC,harsh,4,27,552547665
consensus_with_setup,QUIC,harsh,4,28,755434038
consensus_with_setup,QUIC,harsh,4,29,822922983
consensus_with_setup,QUIC,harsh,4,30,928929837
